"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sc_mouse_iw_4_1,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_4_1][first-instance]"""
sc_mouse_weight_4_1,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_4_1,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_4_1])/([sc_mouse_iw_4_1]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_4_1,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_4_1] < 75 , 2, if([sc_mouse_iwcent_4_1] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_4_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_4_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_4_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_4_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_4_1,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_4_1],[sc_mouse_ps_4_1],[sc_mouse_fs_4_1],[sc_mouse_ss_4_1],[sc_mouse_as_4_1])",,,,,,,,,,,,
sc_mouse_iw_4_2,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_4_2][first-instance]"""
sc_mouse_weight_4_2,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_4_2,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_4_2])/([sc_mouse_iw_4_2]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_4_2,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_4_2] < 75 , 2, if([sc_mouse_iwcent_4_2] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_4_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_4_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_4_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_4_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_4_2,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_4_2],[sc_mouse_ps_4_2],[sc_mouse_fs_4_2],[sc_mouse_ss_4_2],[sc_mouse_as_4_2])",,,,,,,,,,,,
sc_mouse_iw_4_3,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_4_3][first-instance]"""
sc_mouse_weight_4_3,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_4_3,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_4_3])/([sc_mouse_iw_4_3]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_4_3,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_4_3] < 75 , 2, if([sc_mouse_iwcent_4_3] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_4_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_4_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_4_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_4_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_4_3,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_4_3],[sc_mouse_ps_4_3],[sc_mouse_fs_4_3],[sc_mouse_ss_4_3],[sc_mouse_as_4_3])",,,,,,,,,,,,
sc_mouse_iw_4_4,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_4_4][first-instance]"""
sc_mouse_weight_4_4,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_4_4,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_4_4])/([sc_mouse_iw_4_4]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_4_4,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_4_4] < 75 , 2, if([sc_mouse_iwcent_4_4] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_4_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_4_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_4_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_4_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_4_4,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_4_4],[sc_mouse_ps_4_4],[sc_mouse_fs_4_4],[sc_mouse_ss_4_4],[sc_mouse_as_4_4])",,,,,,,,,,,,
